"201","221","191","All-wheel drive","Audi 4.2L 8 cylinder 350 hp 325 ft-lbs","True","6","6 Speed Automatic Select Shift","13","Gasoline","18","Automatic transmission","2009 Audi Q7 4.2","Audi","2009 Audi Q7","2009","350","325"
"201","221","191","All-wheel drive","Audi 3.6L 6 cylinder 280hp 266 ft-lbs","True","6","6 Speed Automatic Select Shift","14","Gasoline","20","Automatic transmission","2009 Audi Q7 3.6","Audi","2009 Audi Q7","2009","280","266"
"226","243","201","All-wheel drive","BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","12","Gasoline","17","Automatic transmission","2010 BMW X5 M SUV","BMW","2010 BMW X5","2010","555","500"
"226","243","201","All-wheel drive","BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","12","Gasoline","17","Automatic transmission","2011 BMW X5 M SUV","BMW","2011 BMW X5","2011","555","500"
"148","12","191","All-wheel drive","BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","12","Gasoline","17","Automatic transmission","2010 BMW X6 M","BMW","2010 BMW X6","2010","555","500"
"148","12","191","All-wheel drive","BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","12","Gasoline","17","Automatic transmission","2011 BMW X6 M","BMW","2011 BMW X6","2011","555","500"
"167","168","247","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","6","6 Speed Manual","21","Gasoline","29","Manual transmission","2011 Volvo C30 T5","Volvo","2011 Volvo C30","2011","227","236"
"167","168","247","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","5","5 Speed Automatic","21","Gasoline","30","Automatic transmission","2011 Volvo C30 T5 AT","Volvo","2011 Volvo C30","2011","227","236"
"167","155","247","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","5","5 Speed Automatic","21","Gasoline","30","Automatic transmission","2010 Volvo C30 T5 AT","Volvo","2010 Volvo C30","2010","227","236"
"167","155","247","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","6","6 Speed Manual","21","Gasoline","29","Manual transmission","2010 Volvo C30 T5","Volvo","2010 Volvo C30","2010","227","236"
"193","34","107","Rear-wheel drive","Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo","True","6","6 Speed Automatic","9","Gasoline","15","Automatic transmission","2010 Bentley Brooklands","Bentley","2010 Bentley Brooklands","2010","530","774"
"185","170","184","All-wheel drive","Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo","True","6","6 Speed Automatic","10","Gasoline","17","Automatic transmission","2011 Bentley Continental Flying Spur Speed","Bentley","2011 Bentley Continental Flying Spur","2011","600","553"
"185","170","184","All-wheel drive","Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo","True","6","6 Speed Automatic","10","Gasoline","17","Automatic transmission","2010 Bentley Continental Flying Spur Speed","Bentley","2010 Bentley Continental Flying Spur","2010","600","553"
"195","170","184","All-wheel drive","Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo","True","6","6 Speed Automatic","10","Gasoline","17","Automatic transmission","2010 Bentley Continental Flying Spur","Bentley","2010 Bentley Continental Flying Spur","2010","552","479"
"172","123","234","Front-wheel drive","Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs","True","5","5 Speed Manual","21","Gasoline","29","Manual transmission","2010 Volvo S40 2.4i","Volvo","2010 Volvo S40","2010","168","170"
"172","123","234","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","5","5 Speed Automatic","21","Gasoline","30","Automatic transmission","2010 Volvo S40 R-Design","Volvo","2010 Volvo S40","2010","227","236"
